Symbol
BTC-USD
ETH-USD
USDT-USD
BNB-USD
SOL-USD
XRP-USD
USDC-USD
DOGE-USD
ADA-USD
TRX-USD
AVAX-USD
SHIB-USD
LINK-USD
DOT-USD
LTC-USD
BCH-USD
UNI-USD
XLM-USD
POL-USD
PEPE-USD
SUI-USD
APT-USD
ARB-USD
OP-USD
FIL-USD
ATOM-USD
NEAR-USD
ICP-USD
HBAR-USD
RENDER-USD
